----------------------------------------------------------------------
Proccess Log 
Log file created at : Wed Jun  5 02:02:12 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
psutil.Process(pid=0, name='System Idle Process', status='running', started='1970-01-01 05:30:00') 
psutil.Process(pid=4, name='System', status='running', started='1970-01-01 05:30:00') 
psutil.Process(pid=172, name='', status='stopped', started='23:32:59') 
psutil.Process(pid=212, name='Registry', status='running', started='23:32:59') 
psutil.Process(pid=656, name='smss.exe', status='running', started='23:33:03') 
psutil.Process(pid=1016, name='Code.exe', status='running', started='00:29:35') 
psutil.Process(pid=1084, name='csrss.exe', status='running', started='23:33:15') 
psutil.Process(pid=1088, name='svchost.exe', status='running', started='23:33:30') 
psutil.Process(pid=1152, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1232, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1240, name='wininit.exe', status='running', started='23:33:17') 
psutil.Process(pid=1260, name='csrss.exe', status='running', started='23:33:17') 
psutil.Process(pid=1320, name='services.exe', status='running', started='23:33:17') 
psutil.Process(pid=1348, name='winlogon.exe', status='running', started='23:33:17') 
psutil.Process(pid=1404, name='LsaIso.exe', status='running', started='23:33:17') 
psutil.Process(pid=1416, name='chrome.exe', status='running', started='00:17:47') 
psutil.Process(pid=1420, name='lsass.exe', status='running', started='23:33:18') 
psutil.Process(pid=1432, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1484, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1488, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1560, name='svchost.exe', status='running', started='23:33:18') 
psutil.Process(pid=1576, name='HxOutlook.exe', status='stopped', started='00:41:35') 
psutil.Process(pid=1584, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1588, name='fontdrvhost.exe', status='running', started='23:33:18') 
psutil.Process(pid=1596, name='fontdrvhost.exe', status='running', started='23:33:18') 
psutil.Process(pid=1700, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1708, name='svchost.exe', status='running', started='23:33:18') 
psutil.Process(pid=1728, name='svchost.exe', status='running', started='01:59:59') 
psutil.Process(pid=1752, name='svchost.exe', status='running', started='23:33:18') 
psutil.Process(pid=1864, name='dwm.exe', status='running', started='23:33:19') 
psutil.Process(pid=1904, name='svchost.exe', status='running', started='23:33:30') 
psutil.Process(pid=1932, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=1948, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2128, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2208, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2272, name='spoolsv.exe', status='running', started='23:33:22') 
psutil.Process(pid=2324, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2332, name='RuntimeBroker.exe', status='running', started='23:37:42') 
psutil.Process(pid=2336, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2356, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2372, name='AsusSystemAnalysis.exe', status='running', started='23:35:27') 
psutil.Process(pid=2420, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2456, name='Code.exe', status='running', started='00:29:36') 
psutil.Process(pid=2484, name='WindowsTerminal.exe', status='running', started='00:32:50') 
psutil.Process(pid=2584, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2592, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2608, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2632, name='chrome.exe', status='running', started='01:58:03') 
psutil.Process(pid=2840, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=2852, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3012, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3024, name='Code.exe', status='running', started='00:29:36') 
psutil.Process(pid=3076, name='NVDisplay.Container.exe', status='running', started='23:33:19') 
psutil.Process(pid=3344, name='amdfendrsr.exe', status='running', started='23:33:19') 
psutil.Process(pid=3352, name='atiesrxx.exe', status='running', started='23:33:19') 
psutil.Process(pid=3360, name='AsusCertService.exe', status='running', started='23:33:19') 
psutil.Process(pid=3376, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3524, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3552, name='Code.exe', status='running', started='00:29:39') 
psutil.Process(pid=3644, name='Code.exe', status='running', started='00:29:36') 
psutil.Process(pid=3684, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3728, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3736, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3744, name='atieclxx.exe', status='running', started='23:33:19') 
psutil.Process(pid=3752, name='svchost.exe', status='running', started='23:33:19') 
psutil.Process(pid=3892, name='MemCompression', status='running', started='23:33:20') 
