----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:42:51 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'} 
{'pid': 172, 'username': None, 'name': ''} 
{'pid': 212, 'username': None, 'name': 'Registry'} 
{'pid': 668, 'username': None, 'name': 'smss.exe'} 
{'pid': 816, 'username': None, 'name': 'svchost.exe'} 
{'pid': 964, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 968, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AacAmbientLighting.exe'} 
{'pid': 1104, 'username': None, 'name': 'csrss.exe'} 
{'pid': 1256, 'username': None, 'name': 'svchost.exe'} 
{'pid': 1264, 'username': None, 'name': 'wininit.exe'} 
{'pid': 1296, 'username': None, 'name': 'svchost.exe'} 
{'pid': 1356, 'username': None, 'name': 'services.exe'} 
{'pid': 1400, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 1440, 'username': None, 'name': 'LsaIso.exe'} 
{'pid': 1468, 'username': None, 'name': 'lsass.exe'} 
{'pid': 1520, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RadeonSoftware.exe'} 
{'pid': 1640, 'username': None, 'name': 'svchost.exe'} 
{'pid': 1664, 'username': None, 'name': 'fontdrvhost.exe'} 
{'pid': 1796, 'username': None, 'name': 'svchost.exe'} 
{'pid': 1848, 'username': None, 'name': 'svchost.exe'} 
{'pid': 1892, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 2116, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2120, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2132, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2140, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2148, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2288, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2296, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2300, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2512, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2536, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2556, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2584, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'PhoneExperienceHost.exe'} 
{'pid': 2608, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2664, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2796, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 2844, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AsusSoftwareManagerAgent.exe'} 
{'pid': 2888, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 2936, 'username': None, 'name': 'svchost.exe'} 
{'pid': 2948, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'HxOutlook.exe'} 
{'pid': 2972, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3040, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'NVIDIA Share.exe'} 
{'pid': 3168, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3208, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3296, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3384, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3424, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3496, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3596, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 3656, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AcPowerNotification.exe'} 
{'pid': 3764, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 3768, 'username': None, 'name': 'NVDisplay.Container.exe'} 
{'pid': 3796, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'OpenConsole.exe'} 
{'pid': 3844, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3864, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3892, 'username': None, 'name': 'AsusCertService.exe'} 
{'pid': 3900, 'username': None, 'name': 'amdfendrsr.exe'} 
{'pid': 3908, 'username': None, 'name': 'atiesrxx.exe'} 
{'pid': 3916, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3980, 'username': None, 'name': 'svchost.exe'} 
{'pid': 3988, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'NVIDIA Web Helper.exe'} 
{'pid': 4100, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RtkAudUService64.exe'} 
{'pid': 4228, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4236, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4244, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4352, 'username': None, 'name': 'MemCompression'} 
{'pid': 4400, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4456, 'username': None, 'name': 'gamingservicesnet.exe'} 
{'pid': 4468, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4476, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4492, 'username': None, 'name': 'gamingservices.exe'} 
{'pid': 4708, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4736, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 4788, 'username': None, 'name': 'WmiPrvSE.exe'} 
{'pid': 4816, 'username': None, 'name': 'svchost.exe'} 
{'pid': 4904, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5000, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5148, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 5164, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 5244, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5288, 'username': None, 'name': 'AsusOptimization.exe'} 
{'pid': 5296, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5360, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ArmouryCrate.UserSessionHelper.exe'} 
{'pid': 5528, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5616, 'username': None, 'name': 'spoolsv.exe'} 
{'pid': 5684, 'username': None, 'name': 'wlanext.exe'} 
{'pid': 5692, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5800, 'username': None, 'name': 'WmiPrvSE.exe'} 
{'pid': 5824, 'username': None, 'name': 'conhost.exe'} 
{'pid': 5828, 'username': None, 'name': 'svchost.exe'} 
{'pid': 5832, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'HxAccounts.exe'} 
{'pid': 5944, 'username': None, 'name': 'audiodg.exe'} 
{'pid': 5996, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6088, 'username': None, 'name': 'armsvc.exe'} 
{'pid': 6112, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 6124, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6152, 'username': None, 'name': 'ArmouryCrateControlInterface.exe'} 
{'pid': 6160, 'username': None, 'name': 'ArmouryCrate.Service.exe'} 
{'pid': 6176, 'username': None, 'name': 'AsusAppService.exe'} 
{'pid': 6204, 'username': None, 'name': 'AsusSoftwareManager.exe'} 
{'pid': 6216, 'username': None, 'name': 'AsusSwitch.exe'} 
{'pid': 6224, 'username': None, 'name': 'AsusSystemDiagnosis.exe'} 
{'pid': 6236, 'username': None, 'name': 'AsusSystemAnalysis.exe'} 
{'pid': 6268, 'username': None, 'name': 'OfficeClickToRun.exe'} 
{'pid': 6280, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6312, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 6328, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 6348, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6432, 'username': None, 'name': 'DtsApo4Service.exe'} 
{'pid': 6440, 'username': None, 'name': 'GameSDK.exe'} 
{'pid': 6484, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6496, 'username': None, 'name': 'svchost.exe'} 
{'pid': 6588, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'sihost.exe'} 
{'pid': 6680, 'username': None, 'name': 'csrss.exe'} 
{'pid': 6688, 'username': None, 'name': 'LightingService.exe'} 
{'pid': 6720, 'username': None, 'name': 'NortonSecurity.exe'} 
