----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 10:18:59 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4} 
{'name': '', 'username': None, 'pid': 172} 
{'name': 'Registry', 'username': None, 'pid': 212} 
{'name': 'smss.exe', 'username': None, 'pid': 668} 
{'name': 'svchost.exe', 'username': None, 'pid': 816} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 964} 
{'name': 'AacAmbientLighting.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 968} 
{'name': 'csrss.exe', 'username': None, 'pid': 1104} 
{'name': 'svchost.exe', 'username': None, 'pid': 1256} 
{'name': 'wininit.exe', 'username': None, 'pid': 1264} 
{'name': 'svchost.exe', 'username': None, 'pid': 1296} 
{'name': 'services.exe', 'username': None, 'pid': 1356} 
{'name': 'LsaIso.exe', 'username': None, 'pid': 1440} 
{'name': 'lsass.exe', 'username': None, 'pid': 1468} 
{'name': 'RadeonSoftware.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 1520} 
{'name': 'svchost.exe', 'username': None, 'pid': 1640} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1664} 
{'name': 'svchost.exe', 'username': None, 'pid': 1796} 
{'name': 'svchost.exe', 'username': None, 'pid': 1848} 
{'name': 'chrome.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 1976} 
{'name': 'svchost.exe', 'username': None, 'pid': 2116} 
{'name': 'svchost.exe', 'username': None, 'pid': 2120} 
{'name': 'svchost.exe', 'username': None, 'pid': 2132} 
{'name': 'svchost.exe', 'username': None, 'pid': 2140} 
{'name': 'svchost.exe', 'username': None, 'pid': 2148} 
{'name': 'svchost.exe', 'username': None, 'pid': 2288} 
{'name': 'svchost.exe', 'username': None, 'pid': 2296} 
{'name': 'svchost.exe', 'username': None, 'pid': 2300} 
{'name': 'svchost.exe', 'username': None, 'pid': 2512} 
{'name': 'svchost.exe', 'username': None, 'pid': 2536} 
{'name': 'svchost.exe', 'username': None, 'pid': 2556} 
{'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 2584} 
{'name': 'svchost.exe', 'username': None, 'pid': 2608} 
{'name': 'svchost.exe', 'username': None, 'pid': 2664} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 2796} 
{'name': 'AsusSoftwareManagerAgent.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 2844} 
{'name': 'msedge.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 2888} 
